"region","time_stamp","val_O3_mean","val_NO2_mean","val_SO2_mean","val_PM10_mean","val_PM2.5_mean","val_O3_max","val_NO2_max","val_SO2_max","val_PM10_max","val_PM2.5_max","val_Corylus","val_Alnus","val_Salix","val_Betula","val_Fraxinus","val_Ulmus","val_Quercus","val_Platanus","val_Poaceae","val_Urtica","val_Artemisia","val_Ambrosia","val_Temperature.mean","val_Temperature.max","val_Humidity.mean","val_Humidity.max","val_Pressure.mean","val_Pressure.max","val_Daily.rain","extra_rings_O3_mean","extra_rings_NO2_mean","extra_rings_SO2_mean","extra_rings_PM10_mean","extra_rings_PM2.5_mean","extra_rings_O3_max","extra_rings_NO2_max","extra_rings_SO2_max","extra_rings_PM10_max","extra_rings_PM2.5_max","extra_rings_Corylus","extra_rings_Alnus","extra_rings_Salix","extra_rings_Betula","extra_rings_Fraxinus","extra_rings_Ulmus","extra_rings_Quercus","extra_rings_Platanus","extra_rings_Poaceae","extra_rings_Urtica","extra_rings_Artemisia","extra_rings_Ambrosia","extra_rings_Temperature.mean","extra_rings_Temperature.max","extra_rings_Humidity.mean","extra_rings_Humidity.max","extra_rings_Pressure.mean","extra_rings_Pressure.max","extra_rings_Daily.rain"
"AB","2018-03-05",80,45.6666666666667,4,36,19,181,194.666666666667,74.5,51,32,0,0,0,0,0,0,0,0,0,0,0,0,1.83333333333333,1.83333333333333,96.3333333333333,96.3333333333333,988.695833333333,989.6,12.8666666666667,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-10-08",41,32,1,8,4,149,178.666666666667,33,18,7,0,0,0,0,0,0,0,0,0,0,0,0,9.38,9.38,91.8,91.8,1003.3,1006.4,2.14,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-12-05",26,60,1,7,4,149,118.666666666667,33,15,9,0,0,0,0,0,0,0,0,0,0,0,0,6.9,6.9,85.05,85.05,1013.25833333333,1015.5,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-07-30",36,25,2,17,7,145,231.333333333333,70.5,39,13,0,0,0,0,0,0,0,0,1,1,0,0,15.325,15.325,78.675,78.675,986.660416666667,990.9,7.54,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-09-21",49,26,2,7,2,147,195.666666666667,44.5,12,7,0,0,0,0,0,0,0,0,0,0,0,0,8.76666666666667,8.76666666666667,83.6666666666667,83.6666666666667,995.720833333333,1003.1,4.33333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-03-08",45,45.3333333333333,1.5,15,8,156,184.333333333333,80.5,26,12,0,0,0,0,0,0,0,0,0,0,0,0,3.13333333333333,3.13333333333333,83.9,83.9,972.658333333334,976.2,0.133333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-10-14",40,32.6666666666667,1.5,8,3,154,240.333333333333,86,18,11,0,0,0,0,0,0,0,0,0,0,0,0,6.94,6.94,92.78,92.78,1005.60416666667,1010.7,17.88,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-08-06",36,22.6666666666667,1,6.375,3.125,138,226.666666666667,33,10.625,6,0,0,0,0,0,0,0,0,0,1,0,0,18.15,18.15,77.025,77.025,1008.325,1012.2,1.96,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-03-14",53,25.5,3,28,10,165,219.5,97,40,16,4,12,0,3,0,0,0,0,0,0,0,0,5.1,5.1,89.4,89.4,983.55625,987.95,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-01-22",44,48,1,8,4,152,92.6666666666667,39,14,10,0,0,0,0,0,0,0,0,0,0,0,0,3.73333333333333,3.73333333333333,84.9,84.9,981.1625,985.95,2.76666666666667,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
