"long","lat","sensor_name","Postcode","Postcode3","Address","Environment Type","Zone","Latitude","Longitude","Altitude (m)"
-3.20545,55.31184,"1023 [POLLEN]","DG",,"B709, Langholm DG13 0QW, UK",,,,,
-3.2055,55.3118,"1023 [WEATHER]","DG13 0","DG",,,,,,
-3.1577,54.9317,"1066 [WEATHER]","CA5 5 ","CA",,,,,,
-2.7864,54.6699,"1073 [WEATHER]","CA11 0","CA",,,,,,
-2.7737,54.0138,"1105 [WEATHER]","LA2 0 ","LA",,,,,,
-4.0791,52.2225,"11256 [WEATHER]","SA48 8","SA",,,,,,
-3.4107,53.3414,"1141 [WEATHER]","LL19 7","LL",,,,,,
-3.7883,53.0971,"1148 [WEATHER]","LL26 0","LL",,,,,,
-3.7134,53.2907,"1149 [WEATHER]","LL29 8","LL",,,,,,
-4.1068,53.1424,"1164 [WEATHER]","LL55 3","LL",,,,,,
-4.0138,52.7174,"1173 [WEATHER]","LL39 1","LL",,,,,,
-3.583,52.9073,"1180 [WEATHER]","LL23 7","LL",,,,,,
-3.8417,52.6218,"1185 [WEATHER]","SY20 9","SY",,,,,,
-3.4687,52.7492,"1191 [WEATHER]","SY21 0","SY",,,,,,
-5.1509,51.7025,"1214 [WEATHER]","SA62 3","SA",,,,,,
-4.9593,51.653,"1217 [WEATHER]","SA71 5","SA",,,,,,
-4.7068,51.6682,"1222 [WEATHER]","SA70 7","SA",,,,,,
-4.3687,52.0126,"1227 [WEATHER]","SA44 5","SA",,,,,,
-3.186,52.0252,"1243 [WEATHER]","LD3 0 ","LD",,,,,,
-3.132,52.3319,"1245 [WEATHER]","LD7 1 ","LD",,,,,,
-3.3488,51.1303,"1291 [WEATHER]","TA4 4 ","TA",,,,,,
-2.733,51.2478,"1304 [WEATHER]","BS27 3","BS",,,,,,
-2.184,50.9505,"1324 [WEATHER]","SP7 0 ","SP",,,,,,
-1.9574,50.6131,"1326 [WEATHER]","BH19 1","BH",,,,,,
-3.9962,55.0144,"13298 [WEATHER]","DG7 3 ","DG",,,,,,
-3.6507,50.2922,"1362 [WEATHER]","TQ7 2 ","TQ",,,,,,
-3.3219,57.7115,"137 [WEATHER]","IV31 6","IV",,,,,,
-3.4937,50.5445,"1371 [WEATHER]","TQ14 8","TQ",,,,,,
-3.2384,50.6793,"1379 [WEATHER]","EX10 8","EX",,,,,,
-3.2258,50.9085,"1382 [WEATHER]","EX15 3","EX",,,,,,
-5.3266,50.2178,"1395 [WEATHER]","TR14 0","TR",,,,,,
-4.7543,50.6459,"1412 [WEATHER]","PL34 0","PL",,,,,,
-2.5191,57.6612,"142 [WEATHER]","AB45 1","AB",,,,,,
-3.9437,57.9805,"14444 [WEATHER]","KW10 6","KW",,,,,,
-5.9398,54.5602,"1475 [WEATHER]","BT9 5 ","BT",,,,,,
-6.0715,54.4525,"1489 [WEATHER]","BT26 6","BT",,,,,,
-6.0009,54.1268,"1491 [WEATHER]","BT34 4","BT",,,,,,
-6.0052,54.2054,"1494 [WEATHER]","BT33 0","BT",,,,,,
-5.9088,54.5837,"1501 [WEATHER]","BT6 8 ","BT",,,,,,
-2.7758,56.5537,"15045 [WEATHER]","DD5 3 ","DD",,,,,,
-5.87,54.5649,"1508 [WEATHER]","BT6 9 ","BT",,,,,,
-6.1955,54.3591,"1509 [WEATHER]","BT32 3","BT",,,,,,
-6.6487,54.3523,"1530 [WEATHER]","BT61 7","BT",,,,,,
-3.4427,56.3442,"15365 [WEATHER]","PH2 9 ","PH",,,,,,
-7.9001,54.4391,"1563 [WEATHER]","BT93 6","BT",,,,,,
-2.4244,50.6368,"16612 [WEATHER]","DT3 6 ","DT",,,,,,
-2.228,54.6689,"17183 [WEATHER]","DL12 0","DL",,,,,,
-2.5406,56.8928,"17310 [WEATHER]","AB30 1","AB",,,,,,
-2.4024,57.0317,"176 [WEATHER]","AB31 3","AB",,,,,,
-3.07182,56.45699,"181 [POLLEN]","DD",,"Unnamed Road, Invergowrie, Dundee DD2 5DA, UK",,,,,
-3.5447,55.8849,"18985 [WEATHER]","EH54 7","EH",,,,,,
-3.9231,57.5253,"19193 [WEATHER]","IV12 5","IV",,,,,,
-3.588,55.0473,"19259 [WEATHER]","DG1 4 ","DG",,,,,,
-4.1105,56.5281,"205 [WEATHER]","PH15 2","PH",,,,,,
-3.8761,56.3382,"208 [WEATHER]","PH5 2 ","PH",,,,,,
-3.7683,56.7181,"214 [WEATHER]","PH16 5","PH",,,,,,
-3.5456,56.7482,"219 [WEATHER]","PH10 7","PH",,,,,,
-3.4112,56.2146,"226 [WEATHER]","KY13 7","KY",,,,,,
-3.8416,50.5168,"23510 [WEATHER]","TQ13 7","TQ",,,,,,
-2.3111,51.9038,"24218 [WEATHER]","GL19  ","GL",,,,,,
1.1812,52.8437,"24219 [WEATHER]","NR11  ","NR",,,,,,
-7.4982,54.8079,"24770 [WEATHER]","BT82  ","BT",,,,,,
-2.4558,54.8105,"24793 [WEATHER]","CA9   ","CA",,,,,,
-3.2263,55.8231,"249 [WEATHER]","EH26 9","EH",,,,,,
-2.1323,53.9754,"2515 [WEATHER]","BD23 3","BD",,,,,,
-3.2277,59.1126,"25315 [WEATHER]","KW17  ","KW",,,,,,
