site_id,latitude,longitude,State Code,County Code,Site Number,Elevation,Land Use,Location Setting,Met Site Distance,Met Site Direction,GMT Offset,Owning Agency,Local Site Name,Zip Code,State Name,County Name,City Name
04_1_1,36.940833000000005,-109.108056,04,1,1,1521.0,UNKNOWN,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Apache,Teec Nos Pos
04_1_3,36.587778,-109.2025,04,1,3,1862.0,UNKNOWN,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Apache,Red Rock
04_1_5,34.11303,-109.29343999999999,04,1,5,2126.0,RESIDENTIAL,URBAN AND CENTER CITY,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Apache,Eagar
04_1_6,34.4225,-109.15,04,1,6,1981.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Apache,Saint Johns
04_1_7,34.128103,-109.30758600000001,04,1,7,2140.0,RESIDENTIAL,RURAL,,,-7,Tucson Electric Power Company,,,Arizona,Apache,Springerville
04_1_8,34.172824,-109.23036200000001,04,1,8,2286.0,,RURAL,,,-7,Tucson Electric Power Company,,,Arizona,Apache,Springerville
04_1_9,34.330044,-109.15536200000001,04,1,9,2128.0,INDUSTRIAL,RURAL,,,-7,Tucson Electric Power Company,,,Arizona,Apache,Springerville
04_1_10,34.313377,-109.14563999999999,04,1,10,2128.0,INDUSTRIAL,RURAL,,,-7,Tucson Electric Power Company,,,Arizona,Apache,Springerville
04_1_11,34.131714,-109.28230900000001,04,1,11,2128.0,INDUSTRIAL,RURAL,,,-7,Tucson Electric Power Company,,,Arizona,Apache,Springerville
04_1_12,35.077245,-109.770394,04,1,12,1755.0,DESERT,RURAL,,,-7,National Park Service,,,Arizona,Apache,Petrified Forest National Park
04_1_1003,34.07339,-109.85801000000001,04,1,1003,2230.0,RESIDENTIAL,RURAL,,,-7,"White Mountain Apache Tribe of Ft Apache Reservation, AZ",White Mountain Fort Apache Reservation,85901.0,Arizona,Apache,McNary
04_1_1234,35.746005,-109.07238600000001,04,1,1234,0.0,RESIDENTIAL,RURAL,,,-7,"Navajo Nation, AZ, NM, UT",FD,86504.0,Arizona,Apache,Fort Defiance
04_1_1235,35.880404,-109.43800300000001,04,1,1235,0.0,RESIDENTIAL,RURAL,,,-7,"Navajo Nation, AZ, NM, UT",Nazlini,86503.0,Arizona,Apache,Nazlini (Trading Post)
04_1_8001,34.058475,-109.441259,04,1,8001,2509.0,FOREST,RURAL,,,-7,National Park Service,Mount Baldy,85925.0,Arizona,Apache,Not in a City
04_3_1,31.410556,-109.87611100000001,04,3,1,468.0,COMMERCIAL,URBAN AND CENTER CITY,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Bisbee
04_3_2,31.380556,-109.74666699999999,04,3,2,1279.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,85603.0,Arizona,Cochise,Not in a City
04_3_3,31.364721999999997,-109.594444,04,3,3,1201.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Douglas
04_3_4,31.365555999999998,-109.583611,04,3,4,1225.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Douglas
04_3_5,31.358889,-109.738056,04,3,5,1279.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Paul Spur
04_3_6,31.894444,-110.246389,04,3,6,1117.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Saint David
04_3_7,31.896666999999997,-110.27361100000002,04,3,7,1132.0,AGRICULTURAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Saint David
04_3_10,31.374167,-109.734167,04,3,10,1292.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Paul Spur
04_3_11,31.3658,-109.73095,04,3,11,1278.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,PAUL SPUR CHEMICAL LIME PLANT,85607.0,Arizona,Cochise,Paul Spur
04_3_901,31.34848,-109.548698,04,3,901,0.0,,,,,-7,US EPA - Region 9,,85607.0,Arizona,Cochise,Douglas
04_3_902,31.348436,-109.548956,04,3,902,0.0,UNKNOWN,UNKNOWN,,,-7,US EPA - Region 9,,,Arizona,Cochise,Douglas
04_3_903,31.348714,-109.54923400000001,04,3,903,0.0,UNKNOWN,UNKNOWN,,,-7,US EPA - Region 9,,,Arizona,Cochise,Douglas
04_3_1001,31.351944,-109.582222,04,3,1001,1225.0,INDUSTRIAL,RURAL,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Douglas
04_3_1002,31.353889000000002,-109.54111100000001,04,3,1002,1221.0,INDUSTRIAL,SUBURBAN,,,-7,Arizona Department Of Environmental Quality,,,Arizona,Cochise,Douglas
04_3_1003,31.334895,-109.55915800000001,04,3,1003,1250.0,INDUSTRIAL,SUBURBAN,,,-7,Arizona Department Of Environmental Quality,DOUGLAS CUSTOMS BUILDING,85607.0,Arizona,Cochise,Douglas
04_3_1004,31.349733,-109.539695,04,3,1004,1225.0,RESIDENTIAL,SUBURBAN,,,-7,Arizona Department Of Environmental Quality,DOUGLAS CITY PARK,,Arizona,Cochise,Douglas
04_3_1005,31.3492,-109.53968300000001,04,3,1005,1231.0,RESIDENTIAL,URBAN AND CENTER CITY,,,-7,Arizona Department Of Environmental Quality,DOUGLAS RED CROSS,85607.0,Arizona,Cochise,Douglas
04_3_1006,31.350031,-109.53778799999999,04,3,1006,1237.0,COMMERCIAL,URBAN AND CENTER CITY,,,-7,Arizona Department Of Environmental Quality,DOUGLAS HIGH SCHOOL,,Arizona,Cochise,Douglas
